  gamemain.cpp
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\load.h(1): warning C4067: プリプロセッサ ディレクティブの後に余分な文字がありました - 改行が必要です
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2128): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2174): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2175): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2177): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2185): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2186): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2200): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2201): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2202): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2211): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2212): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2213): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2222): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2237): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2238): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2239): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2249): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2264): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2265): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2266): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2301): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2302): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2311): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2312): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
  load.cpp
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\load.h(1): warning C4067: プリプロセッサ ディレクティブの後に余分な文字がありました - 改行が必要です
  main.cpp
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\load.h(1): warning C4067: プリプロセッサ ディレクティブの後に余分な文字がありました - 改行が必要です
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\main.cpp(14): warning C4305: '初期化中': 'double' から 'float' へ切り詰めます。
  コード生成しています。
  All 66 functions were compiled because no usable IPDB/IOBJ from previous compilation was found.
  コード生成が終了しました。
  chap3.vcxproj -> E:\C++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\Release\chap3壁を設定.exe
